agent_0,agent_1,agent_2,agent_3
3.504908007334012,0.22105445103709387,3.504908007334012,3.504908007334012
3.4011405124829275,0.6105334191261467,1.2506471154977121,1.2506471154977121
3.7543114229482693,0.19648678205536285,2.852782724903377,2.852782724903377
2.029776300422001,1.8483054576363547,2.893257298598738,2.893257298598738
4.121310812611149,2.1488382170265194,2.1488382170265194,2.1488382170265194
3.4168120334882692,1.8759319391434914,0.33476914939105074,0.33476914939105074
4.55915102847147,1.827248447020632,2.052291603186254,2.052291603186254
1.2257049687392747,0.6113235568800997,-0.930258686895669,-0.930258686895669
3.413301678872445,1.8820123946171323,1.7384218700443324,1.7384218700443324
1.7121604038036113,2.142566838123336,2.717858702031937,2.717858702031937
2.5459429895239163,0.9222439861121481,0.6309888630909144,0.6309888630909144
2.9163945869104824,1.463833747695623,2.1213253635342673,2.1213253635342673
3.0473541293266124,-0.5485323590323552,1.0579566962700513,1.0579566962700513
2.6071353389609633,1.7722647951913477,2.6071353389609633,2.6071353389609633
3.6090561360003157,1.9699076568462313,1.4763451662424796,1.4763451662424796
3.1793434281929125,3.5881744318305855,2.6909917544033766,2.6909917544033766
3.369254372172765,2.9868997504832646,1.021384023457115,1.021384023457115
3.2026878609878366,2.4067627248907297,3.2026878609878366,3.2026878609878366
2.663805916564534,-0.39388605070084726,2.663805916564534,-0.39388605070084726
2.016718328466569,0.5938541730045397,2.160227335523856,0.2600242383134226
4.31949060126202,2.174793988577744,1.8843076237143894,4.31949060126202
3.2161949505805323,1.6653848231930424,2.604025576332047,3.2161949505805323
4.399900018296073,1.797215740747731,1.9546236868232176,4.399900018296073
4.090902091007069,2.9614585370786815,4.090902091007069,4.090902091007069
2.8679055903544324,1.7238042685014257,2.8679055903544324,2.8679055903544324
3.5471569627553268,2.6881373053496276,3.5471569627553268,2.945317579982749
1.794865391103798,0.43804732929931434,0.8600163704106474,3.4970016741490135
3.95270104357977,1.9426668532939175,3.95270104357977,3.95270104357977
4.526756617999835,1.4880456241906705,4.526756617999835,4.526756617999835
4.67763836534882,1.962343442199848,2.4538349131090413,2.4538349131090413
-0.15833854176389062,-0.10335676301321284,1.4820319099130455,3.0024129658522165
2.7016981103014874,1.7309204250526689,2.7016981103014874,2.7016981103014874
3.432559042886382,2.3417513327921835,3.432559042886382,3.432559042886382
2.515180027815826,1.8652155450264183,2.515180027815826,2.515180027815826
3.269170995536234,-0.10037492918437918,3.269170995536234,2.55466152176254
3.1361706262900935,1.6034598497447345,3.1361706262900935,0.19145457438721225
1.7574113127384507,3.5940780426491883,1.7574113127384507,3.3917880431799867
2.22156462012282,1.1530648760134434,1.1755921761601469,2.22156462012282
2.9443076324293567,2.1841198956097374,2.9443076324293567,4.710784693337121
2.890031341200168,0.8377506592662594,2.890031341200168,3.0195511229058787
2.789778409144231,3.8853250321403485,2.789778409144231,3.4508624127816576
3.0986424824071657,3.7479380835565266,3.0986424824071657,0.9738376069264854
2.5400955351575147,1.704673501999089,1.704673501999089,2.5400955351575147
2.7782738475914517,3.950138871225103,2.7782738475914517,2.7782738475914517
3.0916892507057083,2.489994543333661,3.0916892507057083,3.0916892507057083
2.6861280908110663,2.166607361629763,2.6861280908110663,2.6861280908110663
3.4041620853463344,1.1131608405122997,3.4041620853463344,3.4041620853463344
3.1105953302998386,2.625960278605318,3.1105953302998386,3.1105953302998386
2.741637007494301,2.5420248273393242,2.741637007494301,2.741637007494301
3.0315103552352136,2.9956111968376096,3.0315103552352136,3.0315103552352136
2.362245997231775,0.5816202349772641,2.189483542544187,2.362245997231775
3.3573296369764467,1.9703587922347061,2.66821308106294,3.3573296369764467
2.6822103589672284,1.5657532753842702,2.6822103589672284,2.6822103589672284
1.8443081341112555,2.2214124667692015,1.8443081341112555,1.8443081341112555
1.4192320422804303,1.9495470479772565,1.4192320422804303,2.0695076032107935
3.755523343860302,2.63074514070564,1.7509445701575073,1.765366724398635
3.2951953281012196,3.430552226616702,3.499420664287557,3.2951953281012196
3.1000095817466717,2.238907040271258,3.373036545162117,3.1000095817466717
3.4124913268735497,1.9509106606365698,-0.260167262201477,3.4124913268735497
3.227524436281425,3.0202002248989492,3.227524436281425,3.227524436281425
3.86440317379907,3.4833561031260496,3.86440317379907,3.86440317379907
4.831294849084429,3.007074597971707,4.831294849084429,4.831294849084429
3.661072046355109,-0.18376067359092518,3.661072046355109,3.661072046355109
3.5679777505140597,2.8139861045847927,3.5679777505140597,3.5679777505140597
3.2080792487103467,2.7932862522813213,3.2080792487103467,3.2080792487103467
3.349522465234956,2.526621736882539,3.349522465234956,3.349522465234956
2.5184515254429742,1.3294982294763862,-1.7828299886827002,2.5184515254429742
4.278045857508715,2.2505359299737235,4.278045857508715,4.278045857508715
2.915369217050889,0.0901342587345183,2.915369217050889,2.915369217050889
2.3807791563223795,3.5745664528580123,2.3807791563223795,2.3807791563223795
2.4712098638596207,3.5100124390362617,1.9418999999391464,1.9029514916380386
3.568919326117988,4.005603256455571,3.568919326117988,3.568919326117988
5.58619339215304,1.6198696414234939,5.58619339215304,5.58619339215304
4.102236959003083,3.775257420675172,3.775257420675172,4.102236959003083
4.155004467368915,2.7635964944379907,4.155004467368915,4.155004467368915
4.247848756796876,3.3342916661210684,4.247848756796876,4.247848756796876
0.6313416296823964,4.227367718939169,0.6313416296823964,0.6313416296823964
3.5762453283946756,3.7365269565426553,3.5762453283946756,3.5762453283946756
1.4260827923169896,2.0851403151919103,1.4260827923169896,1.4260827923169896
1.3849636206710032,3.794248500198865,1.3849636206710032,1.3849636206710032
2.0854298024359856,3.9375533446430904,3.9375533446430904,3.9375533446430904
4.780618466742945,3.5310358264224218,3.5310358264224218,3.5310358264224218
1.0547049498012107,2.1894582816539567,2.1894582816539567,2.1894582816539567
2.2813206247462854,1.9260480232246007,1.9260480232246007,2.2813206247462854
3.4050495030670116,2.960657545392312,3.4050495030670116,3.4050495030670116
2.1843976057312875,4.209345357273715,2.1843976057312875,2.1843976057312875
1.460883232131946,1.9778103450922475,1.460883232131946,1.460883232131946
2.071594513013532,2.4634966042899693,2.071594513013532,1.4834156986118758
4.340923512047748,3.5059288924359824,4.340923512047748,4.340923512047748
4.387112544760729,2.8573086685326463,4.387112544760729,4.387112544760729
3.881929007319102,2.6269313591036765,3.881929007319102,3.881929007319102
